Formula,JARVIS-ID,spg_symbol,nwan,vqe_max_val(cm-1),vqe_min_val(cm-1),np_max_vals(cm-1),np_min_vals(cm-1)
Bi,JVASP-837,R-3m,16,8.534692502,-5.984355732,8.539754269,-5.984415913
Li2YTl,JVASP-39795,Fm-3m,24,11.68390509,-2.998767166,11.68923656,-3.002039501
BeSbAs2,JVASP-51319,Fm-3m,32,14.0683119,-7.489123236,14.07380457,-7.499234488
Na2TlBi,JVASP-41154,Fm-3m,32,17.54484841,-6.599407594,17.55038991,-6.600774621
InReGe,JVASP-51110,F-43m,28,14.90942803,-4.296066201,14.91503727,-4.319806808
InBi,JVASP-12001,P4/nmm,32,13.20423099,-5.690037657,13.20995316,-5.701752445
TiPt,JVASP-7717,Pm-3m,24,24.62766664,2.81E-07,24.633598,0
ZrFeTe,JVASP-40764,F-43m,32,17.65729833,-3.090794952,17.6634008,-3.09209968
AgBiS2,JVASP-38021,P4/mmm,32,11.83797445,-2.711544306,11.84418528,-2.712035779
Br,JVASP-840,Cmce,32,2.666021278,-14.70178168,2.672255638,-14.70185002
Na2LiTa,JVASP-51138,F-43m,30,14.90701056,-3.344313343,14.91325857,-3.348492414
U,JVASP-14725,Cmcm,32,17.34176624,10.50712736,17.34812725,10.49999434
NbAlPt,JVASP-40795,F-43m,32,19.43464174,-2.114284981,19.44141863,-2.115643979
BiI3,JVASP-36185,Fm-3m,32,7.948053863,-7.969559273,7.955031858,-7.983653695
Li2MgGa,JVASP-81240,Immm,20,2.117534835,-7.995063256,2.124531417,-8.109808662
TiPtPb,JVASP-40818,F-43m,32,18.69296714,-2.986935944,18.70003851,-2.992256136
TiSnPd,JVASP-40797,F-43m,32,15.36313439,-1.597432795,15.37022268,-1.597669686
YSbPt,JVASP-1492,F-43m,32,15.23340594,-3.871224414,15.24050302,-3.875687591
ZrSnPt,JVASP-40826,F-43m,32,14.61383972,-0.732534885,14.62106375,-0.732628506
YTlCd,JVASP-39510,F-43m,32,10.78394369,-4.461115261,10.79129209,-4.467376564
ZrC,JVASP-36428,F-43m,20,15.81549973,-3.331389866,15.82287218,-3.334212072
Ga3Bi,JVASP-37780,Pm-3m,32,14.79861778,-6.799327769,14.80649234,-6.799608278
Li2MgGe,JVASP-39218,Fm-3m,20,16.63015481,-5.487280899,16.63807789,-5.498555785
SrTePd,JVASP-40778,F-43m,32,13.32497128,-6.017555946,13.33298374,-6.019122338
Li2AgSb,JVASP-1849,F-43m,24,8.523126823,-3.970780247,8.531220591,-3.991170591
YCdGa,JVASP-40770,F-43m,32,10.7166682,-4.861094524,10.72485841,-4.879652769
InSb,JVASP-36123,P6_3mc,32,12.59106474,-5.857052289,12.59939813,-5.857122844
BeTcSe,JVASP-51214,F-43m,28,15.3846318,-7.419588149,15.39321084,-7.422765208
HfSe2,JVASP-216,P-3m1,28,7.972280144,-10.35311159,7.981204913,-10.4199429
Mn2Ge,JVASP-36268,F-43m,32,27.17436452,-2.799971476,27.18367544,-2.806407078
InSb3,JVASP-38357,Fm-3m,32,14.70249568,-4.334125184,14.71189543,-4.341098403
ZrFeSe,JVASP-40766,F-43m,32,17.52506882,-5.814245914,17.53449249,-5.81626123
NbTlPt,JVASP-40817,F-43m,32,15.92534523,-2.776123196,15.93520957,-2.787790838
TlBiSe2,JVASP-2062,R-3m,32,13.95210075,-5.251117376,13.96204148,-5.315845504
AlAs,JVASP-13985,P6_3/mmc,32,15.17745722,-6.846833416,15.18772696,-6.851616827
Li2NdIn,JVASP-40059,Fm-3m,28,11.79015987,-2.023120391,11.80047623,-2.066342217
Se,JVASP-7804,P3_121,24,4.956550732,-11.8765342,4.967273004,-11.88368381
LiCdAs,JVASP-36286,F-43m,22,16.08218717,-5.445899673,16.09302373,-5.451992693
SrAlGeH,JVASP-37520,P3m1,30,11.79136469,-5.742459437,11.80255458,-5.764786062
Li2CaSn,JVASP-39881,Fm-3m,24,11.62463587,-3.260195458,11.63584029,-3.264220924
SrLi2Pb,JVASP-40283,Fm-3m,24,15.1871438,-4.518648417,15.1984762,-4.524315049
LiBiS2,JVASP-52332,P4/mmm,22,11.23930467,-3.663822129,11.25107184,-3.663840123
HW,JVASP-36137,P6_3/mmc,28,17.32965132,-4.513864526,17.34165111,-4.513926168
NaPb3,JVASP-17752,Pm-3m,32,16.56646972,-5.182392217,16.57862377,-5.182451815
Li2CdPb,JVASP-16478,Fm-3m,24,11.43893058,-4.331959715,11.45124671,-4.338811734
Y,JVASP-1049,na,24,7.978807092,-1.685125745,7.99125546,-1.685142075
PbS,JVASP-35680,P6_3/mmc,28,11.30313281,-3.53728161,11.31562389,-3.537291991
SrBiB,JVASP-51293,F-43m,28,9.392737615,-8.017706401,9.405314063,-8.022593164
SnO,JVASP-281,P4/nmm,28,12.52301035,-0.826488261,12.53570251,-0.839039982
Li2InSb,JVASP-77062,Immm,20,2.171907763,-11.07200462,2.184660214,-11.07396468
PtSe2,JVASP-128,P-3m1,28,10.06758556,-9.315301836,10.08037608,-9.324619138
ZrPtPb,JVASP-40822,F-43m,32,18.47110129,-2.191338465,18.48404671,-2.194595976
Li2AgSn,JVASP-56771,F-43m,24,18.74887716,-2.938791322,18.76189353,-2.953794041
TlCuIr,JVASP-51158,F-43m,32,14.9217405,-3.326396944,14.93499991,-3.32665522
TiFeTe,JVASP-40788,F-43m,32,16.88943002,-4.304511129,16.90303061,-4.308307748
SrC2,JVASP-36235,R-3m,28,16.82671798,-10.71178424,16.84032478,-10.80591273
NdC2,JVASP-14487,I4/mmm,32,17.08419914,-13.43894029,17.09812986,-13.5291237
Mg,JVASP-919,P6_3/mmc,16,17.43429992,-4.596361436,17.4484072,-4.60587873
LiIn2Pt,JVASP-17653,Fm-3m,30,17.94070235,-1.253549366,17.95594979,-1.2710726
ZrS2,JVASP-82,P-3m1,24,11.39942432,8.73E-06,11.41545166,0
YMgTl,JVASP-39497,F-43m,28,11.51748806,-4.130568379,11.53380716,-4.205068279
Ta2N,JVASP-15923,P-3m1,30,19.27809124,-0.869706789,19.29444832,-0.870322669
SmTe,JVASP-14665,Fm-3m,24,13.9925315,-6.703316415,14.00895491,-6.769132246
CaBiB,JVASP-51291,F-43m,28,10.48430109,-7.55042515,10.50083737,-7.550779692
TlCuO2,JVASP-36761,R-3m,32,14.98396841,-2.499967751,15.00056794,-2.500935179
AlSb,JVASP-35748,P6_3mc,32,12.88898522,-6.087938297,12.90561386,-6.08847801
Hf,JVASP-802,P6_3/mmc,24,11.21641758,-2.373966049,11.23345924,-2.389730755
CaC2,JVASP-36373,R-3m,28,18.54575175,-10.55426626,18.56314668,-10.56417662
SrCaSi,JVASP-40843,F-43m,32,10.74684236,-3.985904544,10.76434886,-4.00340483
LiGa2Ir,JVASP-15572,Fm-3m,30,18.31870785,-3.89708057,18.3369461,-3.905438749
ThAs,JVASP-17535,Pm-3m,20,10.22151572,1.29E-07,10.24000859,-4.025138525
LiInGe,JVASP-7831,F-43m,18,11.63819166,-5.220370564,11.65681894,-5.222999341
TiSiPd,JVASP-40774,F-43m,32,16.90297025,-2.135356409,16.92203336,-2.164957203
SrLi2Sn,JVASP-40280,Fm-3m,24,11.72823465,-3.4337201,11.74772544,-3.446795175
Li2SmTl,JVASP-40075,Fm-3m,28,11.21051488,-5.703619628,11.23008434,-5.715514179
ZrSiPt,JVASP-40824,F-43m,32,16.00156731,-1.217277485,16.0216034,-1.220760048
BaC2,JVASP-35776,R-3m,28,15.03103538,-9.021388782,15.0513844,-9.044080695
SrMgSn,JVASP-39511,F-43m,28,11.16003853,-4.677154623,11.18163758,-4.701383463
LiAl2Ir,JVASP-16583,Fm-3m,30,21.58849495,-2.321142048,21.61016849,-2.349790395
NbSe2,JVASP-581,P-3m1,28,9.859069248,-10.00273485,9.88102681,-10.05177016
DyAs,JVASP-14987,Fm-3m,24,12.7063177,-17.59481866,12.7287101,-17.60865291
LiYTl2,JVASP-40530,Fm-3m,30,12.76989537,-3.394295346,12.79262865,-3.408236078
CaGaGeH,JVASP-35741,P3m1,30,11.57709841,-6.270874651,11.59997233,-6.27088575
BaNaSb,JVASP-40842,F-43m,28,12.40085769,-5.308295456,12.42440916,-5.308333557
BaGaSnH,JVASP-35742,P3m1,30,10.35080468,-5.024413805,10.37449074,-5.053745284
HfMnTl,JVASP-51127,F-43m,32,14.07542341,-3.146642319,14.09934201,-3.147287207
SiBPb,JVASP-51267,F-43m,24,11.29239891,-6.185456845,11.31641033,-6.186128445
MnO2,JVASP-5308,P-3m1,24,16.45208503,-2.792922529,16.47665454,-2.793376684
Li2MgSn,JVASP-39859,Fm-3m,20,15.54381616,-4.031244546,15.56906879,-4.031911178
ErN,JVASP-36040,Pm-3m,22,27.59738036,-8.682799932,27.62396361,-8.758676929
CdCuSb,JVASP-16307,F-43m,32,12.93559183,-4.086181269,12.96259023,-4.090561641
TbSb,JVASP-15031,Fm-3m,24,15.70705831,-4.795120269,15.73414434,-4.799535935
TbAs,JVASP-14993,Fm-3m,24,12.20656073,-21.15107147,12.23414862,-21.24989898
BiBCl,JVASP-51280,F-43m,22,7.530847715,-5.851484591,7.559171939,-5.855293798
ThSiAu,JVASP-16125,P-6m2,32,11.51245413,-1.950893556,11.54088829,-1.953836089
Y,JVASP-1050,P6_3/mmc,24,8.088831879,4.52E-07,8.118071845,-1.731466053
HfSbRh,JVASP-15966,F-43m,32,15.10088875,-3.890274552,15.13035269,-3.891686205
TaFeSb,JVASP-51097,F-43m,32,16.26689616,-4.148801877,16.2965837,-4.183108804
LiAl2Tc,JVASP-37738,Fm-3m,30,20.05140573,-1.008913115,20.08149417,-1.046783402
InCl,JVASP-32834,Cmcm,28,9.807341447,-1.098174781,9.837659055,-1.098672048
DySb,JVASP-36272,Pm-3m,24,16.64537165,-15.93364984,16.67596296,-15.94446164
Li2NdTl,JVASP-40057,Fm-3m,28,11.78544735,-5.649396788,11.8163149,-5.653420899
IrC2,JVASP-32145,I4/mmm,28,20.01425521,-9.760259845,20.04525112,-9.760564898
MgPb3,JVASP-38642,P-6m2,32,16.61694513,-5.159316832,16.64845399,-5.160011925
IrC,JVASP-36653,Pm-3m,20,15.30717363,-5.405367051,15.33907032,-5.405374929
Zr,JVASP-14612,P6_3/mmc,24,13.69912897,3.86E-06,13.73139174,0
Li2MgGa,JVASP-76930,Immm,20,2.089943895,-8.108251739,2.124527959,-8.109808287
Li2TlAg,JVASP-39668,Fm-3m,24,17.98288243,-2.695792967,18.01771609,-2.724640505
Li2MgSi,JVASP-35673,F-43m,20,13.20684791,-4.919030322,13.24194872,-4.920579015
ZrOs,JVASP-16605,Pm-3m,24,17.73326957,8.84E-08,17.76879857,0
CdSbAu,JVASP-17376,F-43m,32,12.83348003,-2.803560913,12.8694111,-2.818319936
ReSnGe,JVASP-51336,F-43m,28,12.05908717,-4.936975978,12.09511271,-4.949217915
ScAg,JVASP-16438,Pm-3m,24,19.18799982,3.46E-07,19.22424605,-0.438733264
TiNiGe,JVASP-40807,F-43m,32,21.58451497,-4.324812631,21.62364206,-4.327329451
VBr2,JVASP-12183,P-3m1,28,10.41730877,-13.42587219,10.45724366,-13.42631338
TiGePt,JVASP-40786,F-43m,32,16.06814795,-3.426910913,16.10850615,-3.475319692
KYSn,JVASP-39508,F-43m,32,11.34117633,-3.927087398,11.3821151,-3.955975846
NaYSi,JVASP-39496,F-43m,28,12.06975533,-4.557933928,12.11194323,-4.576327922
SrLiP,JVASP-4696,P-6m2,22,11.32984997,-6.074120998,11.37354749,-6.077956545
ZrSiPd,JVASP-40776,F-43m,32,17.68569898,-0.758688724,17.72990307,-0.763094805
TiFeSe,JVASP-40775,F-43m,32,17.46731101,-7.285738927,17.51547645,-7.289218563
IrC,JVASP-35984,P-6m2,20,16.03136506,-5.932070886,16.08296059,-5.958643783
Li2DyTl,JVASP-30451,Fm-3m,28,11.6281975,-5.529425042,11.68037061,-5.533984557
NaMgTl2,JVASP-41309,Fm-3m,32,19.22725517,-4.155883376,19.28006362,-4.158828783
Li2DyIn,JVASP-30450,Fm-3m,28,11.60351389,-2.336108635,11.65760167,-2.349654843
CaH2,JVASP-5296,P6_3/mmc,32,16.63035797,-4.317003455,16.68451868,-4.32235833
NaLi2Pb,JVASP-38462,Fm-3m,20,14.5571436,-5.269813838,14.61170058,-5.277072647
LiMgSnAu,JVASP-15826,F-43m,30,11.52229565,-3.232558842,11.57702931,-3.237287427
ErH3,JVASP-35715,Fm-3m,22,18.04446716,-19.08151467,18.09937794,-19.11021097
GeS,JVASP-207,Cmcm,28,10.71602488,-2.195975157,10.7726911,-2.201159559
CdTe,JVASP-23,F-43m,20,11.88412184,-5.779167847,11.94085685,-5.78102057
Tc,JVASP-1020,P6_3/mmc,24,16.09844873,2.88E-07,16.15838599,0
NaLiPt,JVASP-40816,F-43m,22,12.41112406,-2.198770841,12.47119097,-2.208320313
TlSbTe2,JVASP-8063,R-3m,32,10.40920517,-4.822047327,10.47049745,-4.829960528
Na3Tl,JVASP-37755,Fm-3m,32,16.35319999,-4.564572065,16.42031598,-4.605186889
KBaP,JVASP-40763,F-43m,32,13.08692025,-5.975704287,13.16037011,-5.986497875
ScAu,JVASP-16450,Pm-3m,24,19.82542723,-0.993321843,19.90135847,-0.998916841
DyS,JVASP-14566,Fm-3m,22,24.22401786,-15.80208748,24.30047365,-15.90915408
NaAgO,JVASP-36254,F-43m,26,19.88664267,-0.052191627,19.96461295,-0.079541859
ZrGePt,JVASP-40796,F-43m,32,16.71066732,-2.418441704,16.79004439,-2.421753632
Li2MgHg,JVASP-39223,Fm-3m,30,15.09397618,-5.683429832,15.17530996,-5.689908963
MoS2,JVASP-51,R3m,24,17.25999992,2.39E-06,17.34187281,0
LiMgP,JVASP-40798,F-43m,18,16.88090454,-7.164992337,16.96625444,-7.166680401
Li2HgGe,JVASP-17400,Fm-3m,30,13.7318801,-5.966113537,13.82078615,-5.967094276
FeSiW,JVASP-40768,F-43m,32,19.127,-2.580293515,19.2302599,-2.598536827
LiMgSbPd,JVASP-15910,F-43m,30,15.29544672,-3.816557307,15.40590482,-3.868734792
LiScTl2,JVASP-41417,Fm-3m,30,12.53694758,-3.200424054,12.65049194,-3.228323121
ErSe,JVASP-14574,Fm-3m,24,24.43637233,-9.463275709,24.56980467,-9.484684826
GaReAs,JVASP-51313,F-43m,28,12.68093407,-7.429476097,12.8177738,-7.433711878
Li2SmIn,JVASP-39808,Fm-3m,28,11.09678356,-9.102818008,11.34012442,-9.110179528
Ta2H,JVASP-51345,P-4m2,26,12.57589558,-4.538402128,12.84641245,-4.553835696
