Formula,JARVIS-ID,spg_symbol,Nwan,vqe_max_val(eV),vqe_min_val(eV),np_max_vals(eV),np_min_vals(eV)
BaLiBr,JVASP-66040,F-43m,9,34.53864428,-3.02E-06,34.53911945,-1.27E-05
BaCaSn,JVASP-66054,F-43m,9,14.86876879,-4.66E-07,14.86876903,-3.11E-06
BaTaBr,JVASP-66056,F-43m,9,5.2140533,-2.94E-06,5.214053459,-9.45E-06
Ba4MgIr,JVASP-66057,F-43m,18,22.70039077,-6.166130274,22.70039099,-6.166137345
KBaBe,JVASP-66084,F-43m,9,27.38260296,-2.47E-05,27.38260346,-0.000121952
Ba4MoPt,JVASP-66471,F-43m,18,25.52086382,-6.534714366,25.52086393,-6.534722084
BaLiCd,JVASP-66099,F-43m,9,25.9079418,-0.000106003,25.90794211,-0.000365118
Ba4RuBr,JVASP-66108,F-43m,18,23.98291706,-5.508319958,23.98291739,-5.50832459
BaTiCd,JVASP-66121,F-43m,9,10.48112157,-0.591278828,10.48112265,-0.591281114
BaCaHg,JVASP-66126,F-43m,9,12.79092287,2.47E-07,12.79092554,0
BaTeCl,JVASP-66135,F-43m,9,9.838159211,-3.93E-06,9.838159433,-8.92E-06
BaCaCd,JVASP-66142,F-43m,9,12.34640344,-1.91E-06,12.34640405,-6.84E-06
BaCaIn,JVASP-66162,F-43m,9,18.8980158,-1.30E-06,18.89801658,-6.77E-06
BaNbHg,JVASP-66165,F-43m,9,9.312732858,-1.40E-06,9.312733016,-4.93E-06
BaYTe,JVASP-66170,F-43m,9,7.081536429,-0.164051758,7.081537538,-0.164060523
Ba4ZnTc,JVASP-66174,F-43m,18,24.00937088,-5.988706694,24.00937126,-5.988732171
BaCdHg,JVASP-66180,F-43m,9,9.061994367,1.23E-06,9.062007716,0
KBaCu,JVASP-66182,F-43m,9,11.528865,7.34E-07,11.52886608,0
BaMoCl,JVASP-66197,F-43m,9,5.462052365,-2.63E-07,5.462053672,-2.65E-05
Ba4TcTe,JVASP-66210,F-43m,18,24.56887392,-5.34704164,24.56887405,-5.347042493
BaNaV,JVASP-66213,F-43m,9,11.83191827,-1.97E-05,11.83191838,-3.69E-05
BaLiBi,JVASP-66227,F-43m,9,14.87301654,-2.387414499,14.87301695,-2.387416529
BaLiSb,JVASP-66232,F-43m,9,18.28746792,-4.700189697,18.28746806,-4.700191163
BaCaIn,JVASP-66241,F-43m,9,13.76140953,-6.08E-06,13.76140957,-2.42E-05
BaSrTa,JVASP-66264,F-43m,9,9.739488978,-7.84E-07,9.739561764,-5.26E-06
BaTlTe,JVASP-66300,F-43m,9,8.676346811,-8.44E-08,8.676346876,-7.97E-07
Ba2TiCr,JVASP-66313,Fm-3m,12,18.94993989,-2.536576273,18.94994036,-2.536576922
Ba4InIr,JVASP-66322,F-43m,18,25.12981008,-6.683825595,25.12981148,-6.683850163
BaTaCl,JVASP-66329,F-43m,9,4.976687524,-6.16E-06,4.976688095,-5.11E-05
BaBiCl,JVASP-66335,F-43m,9,6.460443043,1.48E-07,6.460443402,-2.67E-06
Ba4RhPb,JVASP-66344,F-43m,18,23.43071643,-5.524073982,23.43078081,-5.524139723
BaTiHg,JVASP-66360,F-43m,9,7.202157883,-0.000238259,7.202158392,-0.001238894
BaTeBr,JVASP-66363,F-43m,9,7.665970157,-4.50E-07,7.665971059,-5.24E-06
BaMgCl,JVASP-66371,F-43m,9,19.24970869,-0.000318457,19.24971406,-0.002310069
BaTiBr,JVASP-66379,F-43m,9,7.473751914,-1.08E-05,7.473829672,-5.47E-05
BaYCl,JVASP-66387,F-43m,9,2.954278688,-3.220507641,2.954279432,-3.220508861
BaInTe,JVASP-66389,F-43m,9,9.364996989,-2.09E-05,9.365016803,-8.77E-05
Ba4YOs,JVASP-66393,F-43m,18,21.79286608,-5.825476362,21.79286728,-5.825489985
BaCdTe,JVASP-66402,F-43m,9,9.092062348,3.34E-07,9.092062708,0
BaHgSb,JVASP-66405,F-43m,9,10.66229976,6.00E-07,10.66230203,0
BaWCl,JVASP-66430,F-43m,9,5.600141311,-4.64E-06,5.600200024,-1.47E-05
BaCaV,JVASP-66433,F-43m,9,12.42876736,-9.47E-05,12.42876788,-0.000866314
BaBiBr,JVASP-66437,F-43m,9,5.296963464,-1.44E-05,5.29696424,-4.70E-05
BaBiPb,JVASP-66442,F-43m,9,10.37987427,-4.00E-06,10.37989825,-1.74E-05
BaSrSb,JVASP-66472,F-43m,9,10.87376254,5.66E-07,10.87376284,-1.49E-07
Ba4ScW,JVASP-66446,F-43m,18,22.09673391,-5.609192403,22.09673486,-5.609198304
Ba4HgIr,JVASP-66474,F-43m,18,26.62801571,-7.080002249,26.62801612,-7.080003239
BaScCl,JVASP-66035,F-43m,9,4.141609907,-2.004163951,4.141620608,-2.004166784
Ba4TaRh,JVASP-66038,F-43m,18,25.70695614,-5.802245874,25.70698197,-5.802247531
BaSnPb,JVASP-66152,F-43m,9,12.22986479,-0.051666196,12.22986599,-0.051692505
BaNaZn,JVASP-66166,F-43m,9,13.3835102,-2.97E-05,13.38351792,-0.000118477
Ba4InTc,JVASP-66172,F-43m,18,23.40276067,-5.259856391,23.40276278,-5.259857631
BaSrHf,JVASP-66183,F-43m,9,8.292583305,5.82E-07,8.292584357,-2.65E-07
Ba4OsBr,JVASP-66199,F-43m,18,27.69141633,-6.350348698,27.69141824,-6.350349062
BaHgPb,JVASP-66216,F-43m,9,8.939484178,-2.09E-07,8.939486133,-1.48E-06
Ba4BeMo,JVASP-66225,F-43m,18,23.47481377,-6.769295376,23.47481438,-6.770391058
BaMgBr,JVASP-66233,F-43m,9,18.1611839,-7.83E-05,18.16119833,-0.000336643
BaSrMo,JVASP-66257,F-43m,9,9.581753076,-9.79E-06,9.581753324,-6.72E-05
Ba4CdRu,JVASP-66274,F-43m,18,22.90347723,-5.847580895,22.90347773,-5.847581313
BaLiCl,JVASP-66310,F-43m,9,37.28882707,-2.11E-05,37.28883285,-0.000616722
BaCaTi,JVASP-66321,F-43m,9,11.35586769,-2.11E-05,11.35586922,-5.60E-05
BaNaCr,JVASP-66326,F-43m,9,12.32828057,-9.25E-06,12.3282809,-0.000236214
BaTlBi,JVASP-66357,F-43m,9,9.597042703,1.13E-06,9.597044166,0
BaTlBr,JVASP-66362,F-43m,9,4.930186267,-1.32E-06,4.930187359,-6.36E-06
BaNaPb,JVASP-66365,F-43m,9,11.28833389,-1.46E-05,11.28833431,-4.62E-05
BaNaTa,JVASP-66378,F-43m,9,13.36824624,-5.12E-05,13.3682554,-7.64E-05
Ba4TiPt,JVASP-66384,F-43m,18,21.94155424,-6.416652451,21.94155543,-6.416664597
BaTlCl,JVASP-66391,F-43m,9,5.962613317,-3.21E-07,5.962614438,-4.95E-06
BaTiTe,JVASP-66395,F-43m,9,10.97549539,5.13E-07,10.97549577,-5.69E-07
BaGaTe,JVASP-66406,F-43m,9,10.85748054,-2.44E-06,10.85748491,-8.04E-06
KBaGe,JVASP-66431,F-43m,9,12.75154069,1.28E-07,12.75154077,-4.99E-05
BaWBr,JVASP-66441,F-43m,9,5.557482087,-8.58E-07,5.557483006,-5.59E-06
BaNaHg,JVASP-66475,F-43m,9,12.42334074,-4.56E-07,12.42334367,-3.06E-06
BaTlSb,JVASP-66485,F-43m,9,11.43624191,-2.59E-06,11.43624248,-7.67E-06
BaInBr,JVASP-66494,F-43m,9,6.305455865,-2.51E-05,6.305455929,-6.88E-05
BaTiCd,JVASP-66503,F-43m,9,10.46211206,-0.59135751,10.46211272,-0.591374131
BaMgTe,JVASP-66505,F-43m,9,15.88771435,-0.000138862,15.88771484,-0.00053287
BaCdSn,JVASP-66506,F-43m,9,11.90444579,-9.52E-05,11.90444633,-0.000440618
BaSrNb,JVASP-66509,F-43m,9,8.922002632,-1.33E-06,8.922003651,-1.24E-05
BaNbCd,JVASP-66518,F-43m,9,10.29110791,-4.93E-05,10.29111112,-0.000137084
Ba2PdBr,JVASP-66536,Fm-3m,12,7.987744899,-2.17E-06,7.9877457,-9.72E-06
BaNaGa,JVASP-66541,F-43m,9,13.89303557,-2.02E-05,13.89303603,-6.12E-05
BaNaSb,JVASP-66546,F-43m,9,13.93470017,-3.77E-06,13.93470055,-7.53E-05
Ba4PdW,JVASP-66550,F-43m,18,24.63976945,-6.281623553,24.63976965,-6.281626187
BaNaCl,JVASP-66565,F-43m,9,13.39774711,-0.349183312,13.39776023,-0.349196661
BaZnTe,JVASP-66567,F-43m,9,10.15406981,-0.000137556,10.15407059,-0.000281948
BaTlIn,JVASP-66568,F-43m,9,10.07231445,5.87E-06,10.07232607,-9.60E-05
BaInSb,JVASP-66581,F-43m,9,12.38907147,-5.03E-07,12.38907184,-4.16E-05
BaNbCl,JVASP-66584,F-43m,9,6.249863876,-0.000104404,6.249864195,-0.000394623
BaCdBr,JVASP-66605,F-43m,9,7.037113908,-6.28E-06,7.037114917,-4.95E-05
BaGaBr,JVASP-66606,F-43m,9,7.501602067,-4.08E-06,7.501602377,-3.25E-05
BaLiMg,JVASP-66613,F-43m,9,27.61697008,-2.97E-06,27.61697029,-1.99E-05
BaNaBi,JVASP-66614,F-43m,9,11.45185867,-2.39E-05,11.45185989,-4.72E-05
KBaSi,JVASP-66619,F-43m,9,18.71149001,2.32E-07,18.71149031,0
BaSrHg,JVASP-66626,F-43m,9,9.730419585,1.25E-07,9.73042031,-6.32E-07
BaSbBr,JVASP-66635,F-43m,9,7.197148989,2.83E-07,7.197155324,-6.62E-07
BaTcBr,JVASP-66640,F-43m,9,3.402425028,2.25E-06,3.402433268,-0.00022875
BaInMo,JVASP-66650,F-43m,9,12.98687031,-0.055054605,12.98687072,-0.055072156
BaTePb,JVASP-66651,F-43m,9,8.972423025,-2.51E-06,8.972435695,-8.20E-06
Ba4BiP,JVASP-66657,F-43m,18,23.78128648,-4.87215913,23.78128727,-4.872160799
BaBiTe,JVASP-66661,F-43m,9,8.922456205,-6.68E-07,8.922456317,-2.48E-06
BaLiIn,JVASP-66673,F-43m,9,24.03768746,-0.000627631,24.03768774,-0.001387436
BaTlSn,JVASP-66676,F-43m,9,10.96039809,6.72E-07,10.96039836,-3.18E-09
BaNaMo,JVASP-66678,F-43m,9,13.71794741,-8.01E-06,13.71794817,-8.62E-05
BaCaCr,JVASP-66682,F-43m,9,12.68791999,-1.87E-05,12.68792058,-9.37E-05
BaYSn,JVASP-66685,F-43m,9,13.17505599,-5.25E-05,13.17505753,-0.000307884
KBaBi,JVASP-66686,F-43m,9,9.92604252,-2.31E-06,9.926042988,-8.75E-06
Be2FePt,JVASP-66694,P4mm,12,251.2516694,-1.35E-05,251.2516696,-9.83E-05
Be2FeIr,JVASP-66718,P4mm,12,279.5221161,-1.32E-05,279.5221167,-7.56E-05
BeGaIr,JVASP-66724,I4mm,9,152.8405024,-4.72E-05,152.8405029,-0.001155023
SrScBe,JVASP-66730,P3m1,9,157.7598488,-2.46E-05,157.7598489,-0.000106215
ScBe2Rh,JVASP-66732,P4/mmm,12,280.7819802,-5.30E-06,280.7819808,-4.36E-05
LiBeV,JVASP-66740,I4mm,9,238.2524718,-1.31E-05,238.2524724,-0.000130829
TiBeTe,JVASP-66750,I4mm,9,66.38498848,-0.000109304,66.38498871,-0.000285499
NaBe2Pd,JVASP-66751,P4mm,12,213.7138334,-3.94E-05,213.7138336,-0.000162524
CaTiBe2,JVASP-66754,Fm-3m,12,138.4118866,-5.60E-07,138.411888,-8.73E-06
BeZnMo,JVASP-66757,I4mm,9,207.0023163,-1.71E-05,207.0023163,-0.000206225
LiBeCd,JVASP-66759,I4mm,9,149.8306439,-0.000158549,149.8306655,-0.001217593
BeTeW,JVASP-66763,I4mm,9,129.3944849,-1.51E-06,129.394487,-2.50E-05
TiMnBe2,JVASP-66781,I-4m2,12,262.9805274,-8.76E-06,262.9805277,-5.71E-05
TiBeTl,JVASP-66789,I4mm,9,107.573499,-0.000224425,107.5734994,-0.000775701
HfBeNi,JVASP-66794,I4mm,9,174.4795673,-2.23E-06,174.479598,-5.42E-05
MgBeZn,JVASP-66797,I4mm,9,110.4607528,-3.60E-06,110.4607547,-0.000924061
BeCrCd,JVASP-66799,I4mm,9,174.7155294,-5.95E-06,174.7155329,-4.85E-05
MgBeIn,JVASP-66809,I4mm,9,96.45934057,-5.21E-05,96.45934106,-0.000326412
BeFePt,JVASP-66819,P3m1,9,239.0890759,-5.91E-05,239.0890761,-0.000195579
LiBePt,JVASP-66821,I4mm,9,212.628536,-8.65E-06,212.6285395,-3.40E-05
BePdCl,JVASP-66836,I4mm,9,128.2386803,-34.14391773,128.2386804,-34.14393559
MgBeNi,JVASP-66844,I4mm,9,177.1946936,-0.000252373,177.1947268,-0.001253349
Be2SiPt,JVASP-66845,P4mm,12,278.164356,-1.59E-06,278.1643568,-6.63E-06
MgTiBe,JVASP-66847,I4mm,9,179.0491719,-2.46E-05,179.0491721,-0.000474705
BeNiCl,JVASP-66848,I4mm,9,141.3785261,-26.98278088,141.3785268,-26.98278632
CaBeGe,JVASP-66852,I4mm,9,102.3104405,-0.002735564,102.3104412,-0.00324045
BeMoPd,JVASP-66853,I4mm,9,231.4180465,-8.65E-06,231.4180498,-4.89E-05
BeInBr,JVASP-66854,I4mm,9,49.38024937,-49.54796602,49.38024994,-49.54796622
BeMoRh,JVASP-66860,I4mm,9,218.7356022,-1.16E-05,218.7356026,-3.94E-05
LiBeOs,JVASP-66868,I4mm,9,221.1199954,-2.43E-05,221.119996,-0.000223287
TiBeCd,JVASP-66885,I4mm,9,171.8788646,-0.000141971,171.878868,-0.000327913
HfBeZn,JVASP-66904,I4mm,9,139.2953461,-7.38E-05,139.2957495,-0.001138171
TiBe2Sb,JVASP-66910,P4mm,12,159.1694123,-5.70E-05,159.1694132,-8.61E-05
BeZnCl,JVASP-66912,P3m1,9,206.9463971,-4.32E-05,206.9463974,-0.000731814
HfBeTc,JVASP-66919,I4mm,9,175.540938,-2.30E-07,175.5409381,-2.21E-06
CaTiBe,JVASP-66925,I4mm,9,149.0629902,-3.12E-05,149.0629906,-0.000590119
MnBePb,JVASP-66930,P3m1,9,149.4724693,-0.000106394,149.4724872,-0.000494368
ScBeMo,JVASP-66936,P3m1,9,234.1348406,-3.13E-05,234.1348407,-6.52E-05
YScBe2,JVASP-66937,P4/mmm,12,144.3513332,-8.17E-06,144.3513334,-6.81E-05
TaBeTe,JVASP-66939,P3m1,9,114.4664877,-1.96E-05,114.4699683,-0.00020834
BeNbPt,JVASP-66942,I4mm,9,210.4676843,-3.03E-06,210.4676865,-4.88E-05
CaTaBe,JVASP-66959,I4mm,9,185.5752027,-1.96E-06,185.575203,-2.34E-05
BeNbRh,JVASP-66966,I4mm,9,194.1225428,-4.87E-06,194.1225435,-2.18E-05
MnBeTl,JVASP-66967,P3m1,9,129.0483216,-0.000201625,129.048322,-0.002004433
MnBe2Cu,JVASP-66968,P4mm,12,280.7188602,-1.42E-06,280.7188603,-0.000124078
MnBe2Te,JVASP-66977,P4mm,12,182.9057198,-9.77E-05,182.9057201,-0.000214762
BeNbIn,JVASP-66980,I4mm,9,135.9582539,-1.22E-06,135.9582543,-4.80E-05
CaBeNb,JVASP-66991,I4mm,9,174.2955716,-8.88E-07,174.2955717,-4.24E-05
HfBePd,JVASP-66993,I4mm,9,139.0438339,8.89E-08,139.0438344,-1.49E-05
BeZnCr,JVASP-67010,P3m1,9,211.0296148,-0.000216456,211.0296152,-0.000868721
CaBeGa,JVASP-67011,I4mm,9,79.92898178,-9.43E-05,79.9289923,-0.000327972
SrTaBe,JVASP-67012,I4mm,9,180.0436814,-1.01E-06,180.0436816,-1.19E-05
HfBeRu,JVASP-67028,I4mm,9,194.800633,4.84E-07,194.8006334,-1.80E-06
ScBeFe,JVASP-67029,P3m1,9,236.6199686,-4.58E-06,236.6199691,-0.000411651
MnBe2Cu,JVASP-67034,P4mm,12,280.5550181,-1.66E-05,280.5550216,-0.000129407
BeSnBi,JVASP-67052,I4mm,9,55.88698784,-0.000561323,55.88698795,-0.001939866
CaBeCd,JVASP-67068,I4mm,9,81.25735051,-5.07E-05,81.25735074,-0.000122549
CaScBe,JVASP-67074,I4mm,9,134.8936025,-1.81E-05,134.8936033,-0.000208175
BeGaRu,JVASP-67082,I4mm,9,156.9661519,-1.85E-07,156.9661521,-2.09E-05
BeGaW,JVASP-67098,I4mm,9,161.4293785,-0.000174361,161.4293791,-0.000531829
MnBeSb,JVASP-67103,I4mm,9,181.5886609,-9.57E-07,181.5887713,-1.01E-05
BeCdBr,JVASP-67104,I4mm,9,52.61882544,-27.85016528,52.61892352,-27.85016562
HfBe2Co,JVASP-67107,P4/mmm,12,345.9409426,-6.37E-06,345.9409427,-1.47E-05
MnBeNi,JVASP-67131,I4mm,9,253.8706185,-0.000486341,253.8706187,-0.001707493
MnBeCd,JVASP-67134,I4mm,9,148.4416528,-0.000152206,148.4419031,-0.001080843
Be2MoCl,JVASP-67137,P4mm,12,248.827415,-8.94E-05,248.8274151,-0.000282762
Be2VTe,JVASP-67139,P4mm,12,175.4225383,-7.89E-05,175.4225385,-0.000347225
BeCdFe,JVASP-67144,I4mm,9,117.6724588,-2.65E-05,117.6724701,-0.000518412
BeTcHg,JVASP-67148,I4mm,9,143.1763541,1.81E-08,143.1763544,-1.47E-05
TaBeRu,JVASP-67155,I4mm,9,184.8771327,-6.60E-07,184.8771329,-1.06E-05
BeGaBr,JVASP-67158,I4mm,9,262.4123746,-0.000156854,262.4123851,-0.002128007
Be2CrBr,JVASP-67163,P4mm,12,197.671836,-32.61252564,197.6718361,-32.61252583
LiBeIn,JVASP-67166,I4mm,9,157.7600716,-4.27E-06,157.7600724,-2.87E-05
BeGaCo,JVASP-67188,P3m1,9,191.3007485,-1.59E-05,191.3007487,-0.000172854
Be2ZnCr,JVASP-67194,P4mm,12,267.3846831,-4.40E-06,267.3846835,-3.78E-05
YTiBe,JVASP-67204,P3m1,9,199.5169104,-2.03E-06,199.5169104,-3.97E-05
MgBeRh,JVASP-67213,I4mm,9,179.8871586,-0.000125518,179.8871588,-0.000670666
HfMnBe,JVASP-67214,I4mm,9,199.0726303,-3.12E-05,199.0726907,-0.000411405
MnBeGa,JVASP-67238,I4mm,9,135.8915568,-1.25E-05,135.8915569,-0.001037862
TaBeSn,JVASP-67244,I4mm,9,96.90666337,-8.39E-06,96.90666366,-0.000137361
HfBeSi,JVASP-67251,I4mm,9,172.2221427,-1.73E-05,172.2221429,-4.24E-05
BeGaP,JVASP-67253,I4mm,9,61.10248995,-1.839396699,61.10258765,-1.839403208
TiBeRh,JVASP-67265,P3m1,9,277.1623418,-3.82E-05,277.1623422,-0.000315503
TiBe2Se,JVASP-67270,P4mm,12,177.0730924,-0.000101428,177.0730926,-0.000745515
MgBeTc,JVASP-67271,I4mm,9,186.3980937,-4.37E-06,186.3980942,-0.00012288
Be2NiPt,JVASP-67276,P4mm,12,257.1432126,-7.32E-06,257.143213,-2.00E-05
HfBeV,JVASP-67277,I4mm,9,182.7948561,2.54E-07,182.794887,-1.12E-06
LiBeFe,JVASP-67279,P3m1,9,206.2590403,-2.96E-05,206.2590406,-0.000553807
Be2CrHg,JVASP-67282,P4/mmm,12,261.6118928,1.35E-05,261.6118961,-0.000786342
HfBe2Zn,JVASP-67292,P4mm,12,215.4557561,-2.55E-05,215.4557563,-7.05E-05
MnBe2Se,JVASP-67301,P4mm,12,206.2126945,-1.14E-05,206.2126947,-8.97E-05
CaMgBe,JVASP-67307,I4mm,9,99.01702039,-0.000211033,99.0170291,-0.000440118
HfBe2Fe,JVASP-67311,P4/mmm,12,218.3583426,-0.000566227,218.3583429,-0.001299431
BeGaSi,JVASP-67312,I4mm,9,105.8554431,-1.872158924,105.8554433,-1.872159184
CaBePb,JVASP-67313,I4mm,9,74.20590941,-2.29E-07,74.20591025,-0.000297547
YBeZn,JVASP-67314,I4mm,9,102.2752523,-1.77E-06,102.2752525,-3.69E-05
Be2FeSb,JVASP-67320,P4mm,12,227.6885854,-5.57E-07,227.6925048,-4.24E-05
Be2ZnFe,JVASP-67330,P4mm,12,278.1510532,-1.71E-05,278.1510537,-0.000831985
ScMnBe,JVASP-67353,P3m1,9,200.6692808,-0.002615862,200.6692811,-0.002920871
BeNbRu,JVASP-67356,I4mm,9,187.5582335,-2.29E-07,187.5582344,-2.18E-06
LiBeZn,JVASP-67362,I4mm,9,174.5739038,-0.000108081,174.5739554,-0.000538225
Be2CrIr,JVASP-67368,P4mm,12,258.9722482,-1.54E-05,258.9722486,-2.20E-05
BePIr,JVASP-67371,I4mm,9,148.7842188,-3.19E-06,148.7842189,-0.000101563
BeFeNi,JVASP-67381,I4mm,9,244.2317461,-0.000211636,244.2317475,-0.000700737
LiYBe,JVASP-67390,P-6m2,9,147.0904922,-2.15E-05,147.0905021,-0.000200951
BeNbFe,JVASP-67393,P3m1,9,293.746145,-6.45E-05,293.7461451,-0.000344085
LiBeSb,JVASP-67397,I4mm,9,277.226298,-7.66E-06,277.2262995,-7.37E-05
YTaBe2,JVASP-67411,P4/mmm,12,176.6228661,-1.89E-06,176.6228665,-9.96E-06
Be2VRu,JVASP-67418,P4mm,12,200.6943381,-1.60E-05,200.6943382,-2.68E-05
HfBeBi,JVASP-67420,I4mm,9,78.43865682,-4.52E-06,78.43865752,-4.77E-05
CaBeIn,JVASP-67428,I4mm,9,92.35666597,-4.05E-05,92.35666608,-0.000696763
BeTcW,JVASP-67430,P3m1,9,303.7254735,-6.75E-07,303.7254738,-8.31E-06
TiBe2Os,JVASP-67432,P4mm,12,193.5671891,-8.31E-06,193.5671923,-6.48E-05
Be2CoHg,JVASP-67440,P4mm,12,210.5040237,-4.83E-06,210.5040249,-5.86E-05
BeNbNi,JVASP-67442,I4mm,9,199.0270289,-6.29E-06,199.0270297,-8.01E-05
NaBeBr,JVASP-67446,P3m1,9,143.5323016,-2.829279854,143.5323019,-2.829294216
TaBeTc,JVASP-67462,I4mm,9,251.1986186,-1.12E-05,251.1986188,-5.26E-05
BeNbTc,JVASP-67463,I4mm,9,242.5918135,6.75E-08,242.5918136,-2.55E-05
BeInW,JVASP-67473,I4mm,9,139.6015726,4.73E-07,139.6015729,-0.000110642
BeCuBr,JVASP-67476,I4mm,9,110.7574618,-21.97309719,110.757462,-21.97309724
Be2VBr,JVASP-67477,P4mm,12,243.5725857,-2.65E-05,243.5728189,-0.000414686
TiBeV,JVASP-67501,I4mm,9,236.8791373,-4.95E-06,236.8791383,-8.86E-05
BeNiMo,JVASP-67520,I4mm,9,235.3354772,-3.72E-07,235.3354773,-9.07E-05
MnBe2Bi,JVASP-67524,P4mm,12,167.3415479,-1.180796016,167.3415481,-1.181275921
BeNbSi,JVASP-67530,I4mm,9,186.5432933,-4.58E-05,186.5432938,-0.000896679
ScBeV,JVASP-67538,I4mm,9,188.6667153,-9.93E-08,188.6667159,-6.60E-05
LiBeSi,JVASP-67543,I4mm,9,175.8913253,-0.000321687,175.8913257,-0.002651593
BeNiIr,JVASP-67545,I4mm,9,181.9860579,-1.04E-05,181.9860591,-4.44E-05
BeCdFe2,JVASP-67554,P4mm,12,173.9221773,-1.40E-06,173.9221783,-0.000554535
BeBiMo2,JVASP-67555,P4mm,12,185.9879749,-3.27E-06,185.9879756,-2.11E-05
BeHgSe,JVASP-67557,I4mm,9,131.9542943,-18.619698,131.9542944,-18.61970543
