Formula,JARVIS-ID,spg_symbol,Nwan,vqe_max_val(eV),vqe_min_val(eV),np_max_vals(eV),np_min_vals(eV)
BeCdCo2,JVASP-67558,I-4m2,12,95.18269287,-0.000136455,95.18269526,-0.003549785
LiBeSi2,JVASP-67561,P4mm,12,345.3286646,-0.000637914,345.3286661,-0.002024819
BeSiTe,JVASP-67563,I4mm,9,136.0292891,-4.51E-05,136.029307,-0.004002063
LiTiBe2,JVASP-67568,P4/mmm,12,219.4059675,-23.32462322,219.4059679,-23.32462364
BeCo2Br,JVASP-67569,P4mm,12,220.1776667,-11.89787934,220.177667,-11.89787997
KMn2Be,JVASP-67570,P4mm,12,196.791425,-0.001296402,196.7915316,-0.001979366
BeGeTe,JVASP-67574,I4mm,9,29.61370008,-0.078409302,29.61370037,-0.07842676
BeGaCu,JVASP-67576,I4mm,9,109.2543352,-3.95E-05,109.2543354,-0.00058705
NaCaBe,JVASP-67578,I4mm,9,83.64060282,-3.17E-05,83.64060323,-0.002368897
NaBeIn,JVASP-67583,I4mm,9,65.61681845,-0.004691893,65.61690608,-0.005109658
CaBeOs2,JVASP-67584,F-43m,12,110.9327585,-8.10E-05,110.9327589,-0.001069512
LiBeFe,JVASP-67585,I4mm,9,204.4167115,-0.000551612,204.4167116,-0.001858492
ScBeRh,JVASP-67588,P-6m2,9,201.8255974,-4.11E-07,201.8256986,-2.11E-05
BeGaTc2,JVASP-67589,I-4m2,12,88.2681494,-3.05E-05,88.2681497,-5.10E-05
Ti2BeFe,JVASP-67590,P4mm,12,230.6910689,-0.000517686,230.6910691,-0.001745441
NaMnBe,JVASP-67591,I4mm,9,158.4353383,-8.46E-05,158.4353385,-0.001283396
BeCuSi,JVASP-67593,I4mm,9,125.8802289,-3.138806634,125.880229,-3.138807551
BeCdSb,JVASP-67596,I4mm,9,63.23254311,-9.158106654,63.23254369,-9.158107261
SrBeGe,JVASP-67597,I4mm,9,70.35633082,-3.70E-05,70.35633113,-0.002186112
NaBeRu2,JVASP-67600,F-43m,12,119.5488602,-7.35E-06,119.5488606,-9.88E-05
MgBeGe,JVASP-67601,I4mm,9,118.3202653,-7.83E-05,118.3202739,-0.000312519
BeNbRu2,JVASP-67604,P4mm,12,200.9416312,-3.82E-07,200.941635,-1.13E-05
BeInCl,JVASP-67608,I4mm,9,67.37974864,-79.94751017,67.37974889,-79.94751078
CaBeFe2,JVASP-67611,F-43m,12,118.1809251,-8.46E-05,118.1809256,-9.46E-05
YScBe,JVASP-67617,I4mm,9,129.0948669,-2.53E-07,129.0948669,-7.23E-05
BeVFe,JVASP-67619,I4mm,9,255.4500491,-5.47E-05,255.4500491,-0.000749283
LiBeV2,JVASP-67620,P4mm,12,177.2834193,-6.43E-06,177.2834197,-2.70E-05
TaBeCr,JVASP-67621,I4mm,9,280.7270169,-5.23E-07,280.7270179,-8.27E-06
SrScBe,JVASP-67623,I4mm,9,122.8280724,-8.66E-07,122.8281618,-1.13E-05
BeInOs2,JVASP-67624,P4mm,12,228.9662214,-8.76E-05,228.9662215,-0.000402964
BeTeIr,JVASP-67625,I4mm,9,207.8709974,-1.78E-05,207.8710174,-8.31E-05
BeTlBi,JVASP-67626,I4mm,9,46.84857907,-0.344223559,46.84857934,-0.34423359
BeGeTe2,JVASP-67628,P4mm,12,139.8807139,-62.14001981,139.8807141,-62.14002025
BeGePb,JVASP-67629,I4mm,9,45.72675448,-1.001337924,45.72675904,-1.0013457
Be2SnMo,JVASP-67635,P4mm,12,281.5083457,-5.30E-05,281.5084215,-0.000228238
BeAgW,JVASP-67636,I4mm,9,217.818782,-1.16E-05,217.8187867,-4.38E-05
BeBiPb,JVASP-67639,I4mm,9,56.63768895,-0.000301255,56.63768952,-0.000706336
Be2BiIr,JVASP-67644,P4/mmm,12,108.0644489,-57.18523881,108.0644507,-57.18525912
BeSiBr,JVASP-67647,I4mm,9,152.2076497,-2.715732124,152.2076507,-2.715747359
BeCrW,JVASP-67648,I4mm,9,286.7682827,-9.29E-07,286.7682838,-7.02E-05
NaBeGa,JVASP-67650,I4mm,9,92.56150413,-0.000148727,92.56150864,-0.000464678
BeCrHg,JVASP-67651,I4mm,9,111.006298,-2.79E-06,111.0062984,-7.26E-05
BeCrP2,JVASP-67654,P4mm,12,154.1058233,-0.000240866,154.1058236,-0.000805321
BeNbPb,JVASP-67656,I4mm,9,133.3861829,-2.06E-07,133.3861906,-3.41E-06
Na2BeIr,JVASP-67657,F-43m,12,80.93193619,-0.000546287,80.93193676,-0.001942713
SrBeCu,JVASP-67661,I4mm,9,106.7720316,-2.11E-07,106.7720374,-0.0013031
BeInHg,JVASP-67665,I4mm,9,29.81919683,-0.453497772,29.81919752,-0.45350282
Ti2BeSb,JVASP-67666,P4mm,12,92.32028426,-1.90E-05,92.3202904,-0.000207093
BeGeSb,JVASP-67669,I4mm,9,40.77157811,-1.758344554,40.77157851,-1.758346301
Be2HgPd,JVASP-67673,P4/mmm,12,114.3728737,-1.17E-05,114.3728754,-5.53E-05
MnBeCr4,JVASP-67677,F-43m,18,170.2817169,1.75E-05,170.3664184,-4.85E-05
BeCu2Br,JVASP-67681,P4mm,12,201.0092734,-20.22143368,201.0092744,-20.22143406
NaScBe,JVASP-67682,I4mm,9,141.7414699,-0.002842812,141.751174,-0.003543209
NaBeBi,JVASP-67683,I4mm,9,55.3747094,-1.08E-05,55.37476534,-0.000110798
NaBeBr,JVASP-67684,I4mm,9,85.90665134,-33.17928532,85.90665193,-33.17928553
KBeTc2,JVASP-67691,F-43m,12,82.81203465,-1.11E-05,82.81203468,-5.89E-05
MgBePb,JVASP-67694,I4mm,9,76.380508,-0.199651541,76.38050907,-0.199804502
BeCrSi,JVASP-67698,I4mm,9,149.4440203,-8.86E-05,149.4441358,-0.001254893
BeAgMo,JVASP-67700,I4mm,9,213.0950615,-4.51E-06,213.0950622,-2.96E-05
KHfBe,JVASP-67705,I4mm,9,156.88206,-1.39E-05,156.8820609,-7.40E-05
BeNiSe,JVASP-67707,I4mm,9,134.8601636,-8.38982519,134.8623112,-8.389833215
ScBeZn2,JVASP-67710,F-43m,12,121.0477685,-5.38E-05,121.0477695,-9.81E-05
BeTlMo,JVASP-67712,I4mm,9,142.2330708,-1.76E-05,142.233071,-0.000457806
BeCdTe,JVASP-67720,I4mm,9,123.3880944,-0.02818266,123.3886096,-0.028822498
BeZnP,JVASP-67721,I4mm,9,124.64443,-10.80243933,124.6444301,-10.80243999
BePBr,JVASP-67725,I4mm,9,115.9285523,-9.335667556,115.9285776,-9.335704943
BeTlTe,JVASP-67726,I4mm,9,30.89795083,-0.667565565,30.89795113,-0.667569356
LiBeBr4,JVASP-67727,F-43m,18,31.29615919,-25.72333218,31.36006232,-25.72337547
BeBiSe2,JVASP-67728,P4mm,12,241.5266134,-11.56494472,241.526619,-11.5649467
LiBeCo,JVASP-67730,I4mm,9,236.9637368,-5.77E-06,236.9637369,-3.74E-05
ScBeTc2,JVASP-67731,F-43m,12,134.0919475,9.47E-07,134.0919476,0
BeCrRu2,JVASP-67732,P4mm,12,255.2781802,-1.36E-06,255.2781805,-7.58E-06
LiBeGe,JVASP-67733,I4mm,9,113.650831,-9.33E-05,113.6508312,-0.000796714
CaBeIr2,JVASP-67734,P4mm,12,221.99572,-2.84E-08,221.9957204,-1.26E-06
ScBeIn,JVASP-67736,I4mm,9,149.1752669,-0.000136975,149.1752672,-0.001154133
BeInRh2,JVASP-67737,P4mm,12,194.5058426,-0.000250143,194.5058426,-0.000587752
SrBePd,JVASP-67738,I4mm,9,101.3721789,-1.71E-05,101.3721986,-0.00010698
SrBeRh,JVASP-67740,I4mm,9,142.2145049,-3.38E-06,142.2145054,-3.80E-05
BeNbTl,JVASP-67749,I4mm,9,127.6629845,-3.11E-06,127.6629909,-3.02E-05
CaBeRu2,JVASP-67756,F-43m,12,104.5000603,-3.18E-06,104.5000607,-7.88E-05
SrBeV2,JVASP-67760,P4mm,12,225.3207178,-5.77E-05,225.3207247,-0.001027972
KBeRh2,JVASP-67762,P4mm,12,207.0410398,-4.39E-06,207.0410405,-1.10E-05
SrBeBi,JVASP-67763,I4mm,9,44.27818709,-1.33E-05,44.27818746,-0.000133344
BeSnSb,JVASP-67766,I4mm,9,64.60623799,-0.000247859,64.60624017,-0.001342789
Mn2BeHg,JVASP-67769,P4mm,12,179.7472685,-0.000429126,179.7472686,-0.000719897
BeCrGe,JVASP-67771,I4mm,9,181.3230515,-0.000207753,181.3235691,-0.000990562
BeCdRu2,JVASP-67772,P4mm,12,149.7008351,-1.64E-06,149.7008354,-1.41E-05
CaBeBr,JVASP-67773,I4mm,9,81.53245226,-7.13E-05,81.53245237,-0.001141948
BePCl,JVASP-67775,I4mm,9,167.3478118,-80.30124571,167.3478123,-80.30124649
NaBeTc2,JVASP-67776,P4mm,12,162.364127,-2.34E-05,162.3641279,-5.66E-05
TiBeZn2,JVASP-67780,F-43m,12,116.9446833,-0.000113743,116.9446849,-0.00048314
BeGaTe,JVASP-67782,I4mm,9,110.7914924,-0.063124855,110.7914957,-0.063522269
MnBeTl,JVASP-67786,I4mm,9,107.9347178,-7.90E-05,107.9347179,-0.000439537
BeSiCl,JVASP-67789,I4mm,9,184.0243157,-65.04509514,184.0243166,-65.04509572
MnBeV,JVASP-67791,I4mm,9,273.6747499,-0.000197125,273.6747501,-0.000629662
BeSi2Br,JVASP-67793,I-4m2,12,35.74012887,-76.96969419,35.74012918,-76.96969481
CaBeTc2,JVASP-67795,F-43m,12,119.7685077,-1.769211386,119.7685423,-1.76921502
SrBeSb,JVASP-67796,I4mm,9,58.02213808,-5.46E-07,58.02214209,-0.000189778
ScBeW2,JVASP-67798,F-43m,12,122.4834957,7.87E-07,122.4834965,0
BeGa4Tc,JVASP-67800,F-43m,18,127.443276,-18.61749436,127.4451321,-18.62433779
HfBeGa,JVASP-67803,I4mm,9,142.9971673,-9.86E-07,142.997168,-7.50E-06
BeSbCl,JVASP-67806,I4mm,9,92.00373542,-97.82816262,92.00373563,-97.82816265
BeNbCr,JVASP-67810,I4mm,9,270.53988,2.30E-07,270.5398802,-1.19E-06
CaBeCu2,JVASP-67814,P4mm,12,165.0410799,-2.28E-05,165.0410799,-0.002160232
YBeMo,JVASP-67815,I4mm,9,197.5776996,-2.18E-06,197.5776997,-1.11E-05
MgBeCr,JVASP-67818,I4mm,9,205.597384,-7.59E-06,205.5973848,-0.000910352
BeGaSb,JVASP-67819,I4mm,9,36.20600645,-4.254955769,36.20600655,-4.254956381
KBeTc,JVASP-67822,I4mm,9,255.834627,-3.66E-07,255.8346272,-6.81E-05
BeInGe,JVASP-67823,I4mm,9,77.526367,-0.831407432,77.52636719,-0.831411479
SrMnBe,JVASP-67831,I4mm,9,122.9387434,-0.000160507,122.9387545,-0.000760912
BeInW2,JVASP-67833,P4mm,12,140.7293625,1.05E-06,140.7293649,-1.70E-05
MgBeSb,JVASP-67834,I4mm,9,72.06990573,-6.987157702,72.06990598,-6.987164706
LiBeBr,JVASP-67836,I4mm,9,92.24216875,-46.02638332,92.24216904,-46.02638343
BeTlSi,JVASP-67840,I4mm,9,159.045507,-0.00030435,159.0455073,-0.00518582
BeCo4Cu,JVASP-67844,F-43m,18,184.3792981,1.09E-07,184.3792984,-0.001983254
BeCoCu2,JVASP-67848,I-4m2,12,114.2889018,-0.000173002,114.290272,-0.000670494
BeMoRu2,JVASP-67849,P4mm,12,235.2911048,-3.54E-07,235.291105,-7.44E-06
NaBeMo,JVASP-67850,I4mm,9,168.7783331,-5.58E-06,168.7783337,-7.88E-05
BeV2Ge,JVASP-67853,P4mm,12,158.7922152,-1.71E-05,158.7922155,-0.000348644
BeTeSe,JVASP-67854,I4mm,9,167.6477124,-1.34E-06,167.6477444,-3.73E-05
NaMgBe,JVASP-67857,I4mm,9,111.8101027,-0.000111206,111.8101032,-0.002837098
BeSnCl,JVASP-67860,I4mm,9,76.29866646,-86.64723457,76.29870995,-86.64723462
LaBeRh2,JVASP-67862,P4mm,12,181.0128331,-0.008279511,181.0128332,-0.012866216
BeTlSe,JVASP-67863,I4mm,9,23.44878256,-0.819021716,23.44882643,-0.819022769
KBeCd,JVASP-67864,I4mm,9,97.33654668,-5.85E-05,97.33654735,-0.000176463
Ta2BeOs,JVASP-67870,P4mm,12,202.3521542,-1.40E-05,202.3522307,-5.66E-05
BeCrFe2,JVASP-67877,I-4m2,12,209.2742143,-0.0001805,209.2742144,-0.000521262
Na2BeIn,JVASP-67879,F-43m,12,42.62140905,-0.014100412,42.62140921,-0.016170163
BeGe2Br,JVASP-67882,I-4m2,12,10.03633196,-52.72993507,10.03633213,-52.72999522
BeP2Ir,JVASP-67883,I-4m2,12,68.25488185,-21.62583408,68.25488225,-21.62583418
BeV2Hg,JVASP-67888,I-4m2,12,89.7629518,-1.61E-06,89.76295238,-7.97E-05
BeGaOs2,JVASP-67892,I-4m2,12,105.9942145,-3.204315953,105.994219,-3.204335948
BeV2Cr,JVASP-67894,I-4m2,12,246.6560091,-3.000161106,246.6560099,-3.000202465
BeTc2Ni,JVASP-67895,I-4m2,12,144.4990431,-6.60E-06,144.4990797,-2.91E-05
KBeNi2,JVASP-67896,I-4m2,12,118.2790427,-19.66442043,118.2790429,-19.66442059
Li2BeCo,JVASP-67898,P4mm,12,239.9303722,-0.00030261,239.9303726,-0.002134905
BeCuPt2,JVASP-67899,I-4m2,12,38.67267352,-1.41E-05,38.67267614,-4.15E-05
KBeMo2,JVASP-67901,F-43m,12,78.27154795,-4.53E-07,78.27154815,-4.66E-06
BeV2Ge,JVASP-67905,I-4m2,12,157.9106332,-0.000178673,157.9106335,-0.000506511
TaBeW2,JVASP-67908,I-4m2,12,140.4145104,-1.34E-05,140.4145107,-4.87E-05
BeFe2Cu,JVASP-67909,I-4m2,12,126.0525097,-8.51E-05,126.0525101,-0.000732288
LiBeV2,JVASP-67917,I-4m2,12,255.8909298,-0.000348094,255.8909299,-0.001713678
Ti2BeCo,JVASP-67921,I-4m2,12,214.5047323,-0.000123961,214.5047326,-0.000309371
CaSc2Be,JVASP-67923,P4mm,12,133.590826,-1.92E-05,133.5908271,-0.003407837
SrTi2Be,JVASP-67925,P4mm,12,143.9105591,-1.66E-07,143.9105594,-1.76E-06
Sc2BeOs,JVASP-67927,I-4m2,12,117.9968632,-8.07E-06,117.9968634,-0.000944976
CaBeZn2,JVASP-67930,F-43m,12,92.92779845,-0.00636727,92.92779945,-0.006894848
Ti2BeMo,JVASP-67931,I-4m2,12,147.9020081,-7.32E-06,147.9020086,-0.000124504
KBeNb2,JVASP-67935,I-4m2,12,95.99058897,-4.602282796,95.99058996,-4.602283981
HfBeNb2,JVASP-67937,I-4m2,12,111.4777219,-1.61E-05,111.4777223,-9.94E-05
BeGa2Co,JVASP-67939,I-4m2,12,115.4691179,-0.000382274,115.469118,-0.000791
Y2BeBr,JVASP-67940,P4mm,12,93.84434394,-0.000126487,93.84444274,-0.000501927
Na2LiBe,JVASP-67945,I-4m2,12,49.11249049,-0.000774933,49.11327734,-0.002541617
BeGaRu2,JVASP-67950,I-4m2,12,98.74079385,-1.83E-07,98.74079397,-0.000117246
BeNiPd2,JVASP-67951,I-4m2,12,54.86033384,-0.000114145,54.86033399,-0.000283344
BeZn2W,JVASP-67957,I-4m2,12,65.64061943,3.77E-06,65.6406504,-0.000929331
BeGaW2,JVASP-67962,I-4m2,12,93.25489159,-5.45E-06,93.25489217,-6.82E-05
KTi2Be,JVASP-67966,F-43m,12,56.133498,-0.000125041,56.13349821,-0.000292797
KBeRu2,JVASP-67972,F-43m,12,75.72167723,-1.63E-05,75.72167737,-3.51E-05
BeV2Cd,JVASP-67973,I-4m2,12,97.74423843,-1.67E-06,97.74423929,-0.000128661
Li2BeBi,JVASP-67974,I-4m2,12,112.6744797,-0.000778805,112.6744803,-0.002824499
BeFeHg2,JVASP-67977,P4mm,12,160.3196942,-0.278755081,160.3197231,-0.27952415
TaTi2Be,JVASP-67987,I-4m2,12,136.4446706,-2.15E-05,136.4446708,-0.000118755
Na2BeGe,JVASP-67988,F-43m,12,82.09503783,-0.001298805,82.09503802,-0.002128145
NaBeV2,JVASP-67993,I-4m2,12,134.5090549,-9.676924393,134.5090552,-9.676924816
BeCrIr2,JVASP-67998,I-4m2,12,114.0797457,-2.01E-06,114.0797458,-4.96E-05
BeCoGe2,JVASP-68012,I-4m2,12,59.16603425,-3.91842414,59.16603501,-3.918425438
BePdPt2,JVASP-68013,I-4m2,12,34.87332895,-2.402508897,34.8733302,-2.402546407
BeCoRh2,JVASP-68017,I-4m2,12,88.29399109,-5.09E-05,88.29446308,-0.000457626
BeGaMo2,JVASP-68021,I-4m2,12,105.467162,-9.59E-05,105.467348,-0.000348654
Ti2MnBe,JVASP-68029,I-4m2,12,203.6527737,-2.860473671,203.6527738,-2.861188707
Mn2BeCu,JVASP-68038,I-4m2,12,163.382689,-0.000555488,163.3897816,-0.001053405
LiTi2Be,JVASP-68039,P4mm,12,167.5213185,-0.000208886,167.5213455,-0.00129948
BeCoPd2,JVASP-68043,I-4m2,12,54.48410019,-0.00012047,54.48410177,-0.000459278
Hf2BeCu,JVASP-68044,P4mm,12,123.6239942,-0.000252144,123.6239975,-0.000449401
KSc2Be,JVASP-68046,P4mm,12,130.0869495,-0.000723797,130.0869498,-0.001489268
CaBePt,JVASP-68049,P-6m2,9,230.1493405,-1.32E-06,230.1494535,-1.12E-05
BeV2Cr,JVASP-68051,P4mm,12,264.9991233,-0.000558359,264.9991311,-0.000818659
BeV2Tc,JVASP-68058,I-4m2,12,199.3659416,-6.14E-06,199.3659421,-4.77E-05
BeZn2Ir,JVASP-68061,I-4m2,12,86.40356567,-2.53E-05,86.40356917,-0.000110238
LaBeP,JVASP-68066,P-6m2,9,298.7467048,-0.004736531,298.7467321,-0.007388302
BeNi2Ir,JVASP-68068,I-4m2,12,119.7703781,-1.98E-06,119.7703784,-8.02E-06
KBeOs2,JVASP-68071,P4mm,12,193.3858134,-0.000151174,193.3858137,-0.000852301
SrBeTc2,JVASP-68072,F-43m,12,79.48509203,-2.426318042,79.48509262,-2.426318429
Hf2BeBr,JVASP-68076,P4mm,12,107.1094159,-2.42E-05,107.1095308,-0.000108762
NaBeRh2,JVASP-68078,I-4m2,12,115.2454984,-5.60E-05,115.2454985,-0.00016742
Mg2BeCo,JVASP-68082,I-4m2,12,147.3524879,-0.005558589,147.3524905,-0.007516814
BeZn2Tc,JVASP-68084,I-4m2,12,86.40182573,8.93E-06,86.40182694,-6.50E-05
HfBeRu2,JVASP-68094,P4mm,12,216.4632424,-1.31E-06,216.4632429,-4.88E-06
BeTc2Ge,JVASP-68105,I-4m2,12,96.99442557,-4.82E-06,96.99442593,-6.47E-06
BeV2Pt,JVASP-68116,I-4m2,12,135.2401043,-5.49E-07,135.2403151,-3.69E-05
BeP2Os,JVASP-68126,I-4m2,12,60.60411571,-21.14474613,60.60411591,-21.14474655
BeNbSi2,JVASP-68129,I-4m2,12,124.4172299,-0.000861428,124.4172301,-0.001521629
BeInW2,JVASP-68131,I-4m2,12,65.0738775,-9.97E-06,65.073878,-0.000148708
BeCrNi2,JVASP-68134,I-4m2,12,168.9570723,-1.98E-05,168.9570724,-6.27E-05
Na2BeBi,JVASP-68139,I-4m2,12,34.27957632,-1.705797262,34.27957672,-1.705800275
BeFeNi2,JVASP-68148,I-4m2,12,148.3979109,-9.49E-05,148.3979113,-0.002164395
CaMn2Be,JVASP-68154,I-4m2,12,124.8253521,-15.55858516,124.8253526,-15.55858564
BeZn2Mo,JVASP-68157,I-4m2,12,62.95730552,-0.000431506,62.95734623,-0.005985257
BeZn2Ge,JVASP-68158,I-4m2,12,25.29515302,-0.009759327,25.29520241,-0.010312953
Na2HfBe,JVASP-68161,F-43m,12,61.33788975,-0.0053938,61.3378903,-0.005867122
BeTc2Pd,JVASP-68164,I-4m2,12,95.72099101,2.31E-07,95.72099301,-3.12E-06
BeRu2Pb,JVASP-68165,I-4m2,12,72.35966528,-4.253141581,72.36027951,-4.25314223
HfBeZn2,JVASP-68174,P4mm,12,145.0411137,-9.50E-05,145.0411151,-0.00144213
BeMoPt2,JVASP-68177,I-4m2,12,90.93968444,-3.55E-05,90.93968594,-0.000109805
MnBeNi2,JVASP-68185,I-4m2,12,151.1283676,-2.12E-05,151.1283677,-0.000266676
BePdRh2,JVASP-68186,I-4m2,12,67.38858303,-5.35E-06,67.38858484,-0.000174424
BeSi2Rh,JVASP-68194,I-4m2,12,84.36440311,-0.710530446,84.36603541,-0.710788754
BeV2Se,JVASP-68196,I-4m2,12,142.0050243,-1.968034552,142.0054058,-1.968137688
K2BeGa,JVASP-68198,F-43m,12,33.54520026,-0.029959899,33.54520052,-0.03012104
BeCdW2,JVASP-68203,I-4m2,12,71.40321001,-4.05E-05,71.40321117,-0.000103788
Mn2BeCo,JVASP-68204,I-4m2,12,185.196553,1.57E-07,185.1969132,-0.001980127
BeNiRu2,JVASP-68210,I-4m2,12,105.5676198,-2.55E-05,105.5676222,-7.33E-05
BeGa2Fe,JVASP-68212,I-4m2,12,131.0418269,-8.82E-05,131.0418272,-0.000355526
BeCrTe2,JVASP-68214,P4mm,12,113.7220129,-49.63936617,113.7220136,-49.63936666
BeRu2Rh,JVASP-68215,I-4m2,12,95.89867798,-1.72E-06,95.89867854,-1.77E-05
Mg2BeFe,JVASP-68217,I-4m2,12,122.2639915,-7.891376263,122.2639918,-7.89137787
BeHgPd2,JVASP-68221,I-4m2,12,36.72964012,-14.73530897,36.7296409,-14.73530972
MnBePd2,JVASP-68224,I-4m2,12,62.79107448,-6.52E-06,62.79107517,-1.37E-05
ScBeV2,JVASP-68228,I-4m2,12,155.8474397,-6.99E-05,155.8474405,-0.000307198
BeCuRh2,JVASP-68236,I-4m2,12,70.72370527,-0.000114757,70.72376494,-0.001980929
BeCrRh2,JVASP-68240,I-4m2,12,114.8791679,-1.96E-07,114.8793218,-5.76E-06
MgMn2Be,JVASP-68241,F-43m,12,196.7849765,-7.07E-07,196.7849766,-3.75E-06
MnBeRh2,JVASP-68245,I-4m2,12,102.8108433,-8.93E-06,102.8108436,-0.000126601
NaSc2Be,JVASP-68247,P4mm,12,125.4902969,-0.002634515,125.490297,-0.003468722
BeGa2Bi,JVASP-68250,I-4m2,12,16.01706864,-8.433299849,16.01706927,-8.433303434
CaBeNb2,JVASP-68251,I-4m2,12,100.2520983,-6.155935737,100.2520986,-6.155936922
BeCoPt2,JVASP-68256,I-4m2,12,47.47760779,-8.42E-07,47.47760794,-0.000196096
BeFeRu2,JVASP-68260,I-4m2,12,135.2304852,-1.34E-05,135.2304854,-7.35E-05
BeCuPd2,JVASP-68271,I-4m2,12,49.47247903,-6.32E-06,49.47247984,-1.96E-05
Mn2BeGa,JVASP-68273,I-4m2,12,126.5813988,-4.29E-06,126.5818239,-5.86E-05
BeFeRh2,JVASP-68275,I-4m2,12,89.77828345,-1.93E-05,89.77834963,-5.05E-05
BeV2Cu,JVASP-68279,I-4m2,12,177.3218833,-0.000215478,177.3222677,-0.000596313
BeCuNi2,JVASP-68281,I-4m2,12,116.1166917,-4.10E-05,116.1166922,-0.000364978
